 Mohindra (Con)
Jeffrey M. Donaldson (Dup)
Jenny Chapman (Lab)
Jeremy  Wright (Con)
Jeremy Corbyn (Ind)
Jeremy Corbyn (Lab)
Jeremy Hunt (Con)
Jeremy Lefroy (Con)
Jeremy Quin (Con)
Jeremy Wright (Con)
Jerome Mayhew (Con)
Jess Phillips (Lab)
Jesse Norman (Con)
Jessica Morden (Lab)
Jill Mortimer (Con)
Jim Cunningham (Lab)
Jim Dowd (Lab)
Jim Fitzpatrick (Lab)
Jim Mcmahon (Lab)
Jim Shannon (Dup)
Jo Churchill (Con)
Jo Cox (Lab)
Jo Gideon (Con)
Jo Platt (Lab)
Jo Stevens (Lab)
Jo Swinson (Ld)
Joan Ryan (Cuk)
Joan Ryan (Igc)
Joan Ryan (Ind)
Joan Ryan (Lab)
Joanna Cherry (Snp)
John Baron (Con)
John Cryer (Lab)
John Glen (Con)
John Grogan (Lab)
John Hayes (Con)
John Healey (Lab)
John Howell (Con)
John Lamont (Con)
John Mann (Lab)
John Mcdonnell (Lab)
John Mcnally (Snp)
John Nicolson (Snp)
John Penrose (Con)
John Pugh (Ld)
John Redwood (Con)
John Spellar (Lab)
John Stevenson (Con)
John Whittingdale (Con)
John Woodcock (Ind)
John Woodcock (Lab)
Johnny Mercer (Con)
Jon Cruddas (Lab)
Jon Trickett (Lab)
Jonathan Ashworth (Lab)
Jonathan Djanogly (Con)
Jonathan Edwards (Ind)
Jonathan Edwards (Pc)
Jonathan Gullis (Con)
Jonathan Lord (Con)
Jonathan Reynolds (Lab)
Joseph  Johnson (Con)
Joseph Johnson (Con)
Joy Morrissey (Con)
Judith Cummins (Lab)
Julia Dockerill (Con)
Julia Lopez (Con)
Julian Brazier (Con)
Julian Knight (Con)
Julian Knight (Ind)
Julian Lewis (Con)
Julian Lewis (Ind)
Julian Smith (Con)
Julian Sturdy (Con)
Julie Cooper (Lab)
Julie Elliott (Lab)
Julie Marson (Con)
Justin Madders (Lab)
Justin Tomlinson (Con)
Justine Greening (Con)
Justine Greening (Ind)
Karen Bradley (Con)
Karen Buck (Lab)
Karen Lee (Lab)
Karen Lumley (Con)
Karin Smyth (Lab)
Karl Mccartney (Con)
Karl Turner (Lab)
